user_id,item_id,skill_id,correct,timestamp
lucky_0,0,0,1,0
lucky_0,0,0,1,0
lucky_0,0,0,1,0
lucky_0,0,0,1,0
lucky_0,0,0,0,0
lucky_0,0,0,0,0
lucky_0,0,0,1,0
lucky_0,0,0,0,0
lucky_0,0,0,0,0
lucky_0,1,0,1,0
lucky_0,1,0,0,0
lucky_0,1,0,0,0
lucky_0,2,0,0,0
lucky_0,2,0,0,0
lucky_0,2,0,1,0
lucky_1,0,0,1,0
lucky_1,0,0,1,0
lucky_1,0,0,1,0
lucky_1,0,0,1,0
lucky_1,0,0,0,0
lucky_1,0,0,1,0
lucky_1,0,0,0,0
lucky_1,0,0,1,0
lucky_1,1,0,0,0
lucky_1,1,0,1,0
lucky_1,2,0,0,0
lucky_1,2,0,0,0
lucky_1,2,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,1,0
lucky_2,0,0,0,0
lucky_2,1,0,1,0
lucky_2,1,0,0,0
lucky_2,1,0,0,0
lucky_2,2,0,0,0
lucky_3,0,0,1,0
lucky_3,0,0,1,0
lucky_3,0,0,1,0
lucky_3,0,0,1,0
lucky_3,0,0,1,0
lucky_3,0,0,0,0
lucky_3,0,0,0,0
lucky_3,0,0,1,0
lucky_3,0,0,0,0
lucky_3,1,0,1,0
lucky_3,2,0,1,0
lucky_3,2,0,0,0
lucky_3,2,0,0,0
lucky_4,0,0,1,0
lucky_4,0,0,1,0
lucky_4,0,0,1,0
lucky_4,0,0,0,0
lucky_4,1,0,0,0
lucky_4,1,0,1,0
lucky_4,2,0,0,0
lucky_4,2,0,1,0
lucky_4,2,0,0,0
lucky_4,2,0,0,0
lucky_5,0,0,1,0
lucky_5,0,0,1,0
lucky_5,0,0,1,0
lucky_5,0,0,0,0
lucky_5,1,0,0,0
lucky_5,1,0,0,0
lucky_5,2,0,0,0
lucky_5,2,0,0,0
lucky_6,0,0,1,0
lucky_6,0,0,1,0
lucky_6,0,0,1,0
lucky_6,0,0,0,0
lucky_6,0,0,1,0
lucky_6,0,0,1,0
lucky_6,1,0,0,0
lucky_6,2,0,1,0
lucky_6,2,0,0,0
lucky_6,2,0,1,0
lucky_6,2,0,0,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,0,0,1,0
lucky_7,1,0,0,0
lucky_7,1,0,0,0
lucky_7,2,0,0,0
lucky_7,2,0,1,0
lucky_8,0,0,1,0
lucky_8,0,0,1,0
lucky_8,0,0,1,0
lucky_8,0,0,1,0
lucky_8,0,0,0,0
lucky_8,1,0,0,0
lucky_8,1,0,0,0
lucky_8,1,0,0,0
lucky_8,2,0,0,0
lucky_8,2,0,0,0
lucky_8,2,0,0,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,0,0,1,0
lucky_9,1,0,0,0
lucky_9,1,0,0,0
lucky_9,1,0,0,0
lucky_9,2,0,0,0
lucky_9,2,0,0,0
lucky_9,2,0,1,0
lucky_9,2,0,1,0
lucky_9,2,0,0,0
lucky_10,0,0,1,0
lucky_10,0,0,1,0
lucky_10,0,0,1,0
lucky_10,0,0,1,0
lucky_10,0,0,0,0
lucky_10,0,0,1,0
lucky_10,1,0,0,0
lucky_10,2,0,0,0
lucky_10,2,0,0,0
lucky_10,2,0,0,0
lucky_11,0,0,1,0
lucky_11,0,0,1,0
lucky_11,0,0,1,0
lucky_11,0,0,1,0
lucky_11,0,0,1,0
lucky_11,0,0,1,0
lucky_11,1,0,0,0
lucky_11,2,0,1,0
lucky_11,2,0,0,0
lucky_11,2,0,0,0
lucky_12,0,0,1,0
lucky_12,0,0,1,0
lucky_12,0,0,1,0
lucky_12,0,0,1,0
lucky_12,1,0,0,0
lucky_12,1,0,0,0
lucky_12,2,0,0,0
lucky_12,2,0,0,0
lucky_12,2,0,1,0
lucky_12,2,0,0,0
lucky_12,2,0,0,0
lucky_13,0,0,1,0
lucky_13,0,0,1,0
lucky_13,0,0,1,0
lucky_13,0,0,1,0
lucky_13,0,0,1,0
lucky_13,0,0,0,0
lucky_13,1,0,0,0
lucky_13,1,0,0,0
lucky_13,1,0,0,0
lucky_13,2,0,0,0
lucky_14,0,0,1,0
lucky_14,0,0,1,0
lucky_14,0,0,1,0
lucky_14,0,0,1,0
lucky_14,0,0,1,0
lucky_14,0,0,1,0
lucky_14,0,0,1,0
lucky_14,1,0,0,0
lucky_14,1,0,0,0
lucky_14,2,0,0,0
lucky_14,2,0,0,0
lucky_15,0,0,1,0
lucky_15,0,0,1,0
lucky_15,0,0,1,0
lucky_15,0,0,1,0
lucky_15,0,0,1,0
lucky_15,0,0,0,0
